p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
1.50705258626102e-09	-0.446691636993879	0.581	0.677	5.0543529638022e-05	JUND	Control
1.56425858046048e-09	1.13453896688431	0.173	0.082	5.24621042714837e-05	TRGV3	Control
1.82295121591623e-09	0.244064473836414	0.951	0.927	6.11381378793985e-05	MYL12B	Control
1.85413616742491e-09	0.325276956524939	0.813	0.734	6.21840187830967e-05	EIF4G2	Control
1.9521216608714e-09	0.463720606419058	0.607	0.501	6.54702562623049e-05	GDI2	Control
2.41959539177632e-09	0.230254178843347	0.969	0.932	8.11483902493941e-05	HSP90AB1	Control
2.62887719321612e-09	0.522251265764263	0.524	0.401	8.81672833060823e-05	CD63	Control
2.6584989446036e-09	-0.134147928476962	1	1	8.91607376041157e-05	RPL28	Control
2.86590161238487e-09	0.286869981938614	0.922	0.84	9.61166082761637e-05	YWHAB	Control
2.87860097794116e-09	0.481199657343092	0.602	0.478	9.65425195981908e-05	MATR3.1	Control
3.15245653342774e-09	0.240792279889989	0.962	0.932	0.0001057270872181	EVL	Control
3.23525818925409e-09	0.302700453028983	0.873	0.814	0.000108504089151204	ALDOA	Control
3.2477694695722e-09	0.376916981716758	0.767	0.672	0.000108923692470512	TRAF3IP3	Control
3.50863486178283e-09	0.913655753678656	0.193	0.098	0.000117672595994473	NUP107	Control
3.67894851189115e-09	0.160269015543432	1	1	0.000123384575191805	RPL6	Control
3.78597789402288e-09	0.359781829678902	0.72	0.615	0.000126974126609739	XRCC6	Control
4.53401977718177e-09	-0.563746186353478	0.413	0.532	0.000152061955287122	CCNH	Control
4.90477164621869e-09	1.14574157121895	0.16	0.075	0.000164496231470883	AOAH	Control
4.92842072837765e-09	0.603420182027974	0.394	0.271	0.000165289374388329	ANP32E	Control
5.69523733998922e-09	0.708325416105145	0.293	0.181	0.000191006869908559	PSMC2	Control
6.0560239945245e-09	0.444832344992793	0.6	0.486	0.000203106932728363	TBCB	Control
6.58178881459072e-09	0.62310267022587	0.48	0.365	0.000220740033263744	SIRPG	Control
6.88682764033626e-09	0.328257985179002	0.835	0.74	0.000230970425401597	DAD1	Control
7.28429788118005e-09	0.317879666557128	0.765	0.665	0.000244300782339016	SPCS1	Control
8.09058145438064e-09	0.393899210789289	0.643	0.518	0.000271341920817018	RAP1A	Control
8.18007664430645e-09	0.612782126053968	0.365	0.246	0.00027434341049675	CPNE3	Control
8.49380151930113e-09	-0.596642479410177	0.388	0.5	0.000284865115354321	HMGB2	Control
8.52607940373925e-09	0.634940022154953	0.433	0.323	0.000285947651042607	AC243960.1	Control
9.02716661220269e-09	0.570252326484706	0.502	0.394	0.000302753113840054	NUCKS1	Control
9.02742243879504e-09	0.148409896332844	1	1	0.000302761693752308	RPS14	Control
9.32333870149488e-09	0.235248653104162	0.931	0.887	0.000312686133370735	ARPC3	Control
9.39381912795083e-09	0.252336098098486	0.936	0.911	0.000315049905913215	PPIB	Control
1.15778304825324e-08	0.1469931936069	1	1	0.000388297278723173	RPS7	Control
1.19461343528467e-08	0.351332519033024	0.721	0.613	0.000400649453925773	BCAP31	Control
1.29531513278729e-08	0.669859962078777	0.345	0.231	0.000434422789234201	SSBP2	Control
1.32686385508117e-08	0.376948421564721	0.699	0.598	0.000445003599717123	SRSF2	Control
1.4589381644924e-08	0.795072625390899	0.301	0.195	0.000489298681607462	SLFN12L	Control
1.7376784688056e-08	0.202392081991958	0.988	0.983	0.00058278260486802	RAC2	Control
1.93871031177833e-08	-1.04778306070747	0.073	0.156	0.000650204664364215	SPON2	Control
2.3782355157874e-08	0.508981643204232	0.413	0.29	0.00079761262728478	GPR174	Control
2.56560735521275e-08	0.483710101429047	0.557	0.459	0.000860453394791251	RGS19	Control
2.66178237699724e-08	0.165460221939042	0.994	0.986	0.000892708573597333	UBC	Control
2.78718246284732e-08	0.757138512017951	0.345	0.239	0.000934765254389735	CDK6	Control
2.83015775156478e-08	0.303725308632081	0.895	0.856	0.000949178306719795	KLRB1	Control
2.85121739741944e-08	0.333487770911571	0.779	0.692	0.00095624129074653	CSDE1	Control
2.87007487518321e-08	0.195661293383428	0.999	0.989	0.000962565711638945	GAPDH	Control
2.91322766452998e-08	0.450250728139826	0.572	0.465	0.000977038294130064	ACTR2	Control
4.02962364932404e-08	0.379917199858788	0.624	0.51	0.0013514551795103	RASSF5	Control
4.09694124636493e-08	0.386698856393066	0.622	0.494	0.00137403215520587	MDH2	Control
4.31181861035502e-08	0.167193394126804	1	1	0.00144609772554087	RPS4X	Control
4.5603958975956e-08	-0.62631929226919	0.519	0.618	0.00152946557613561	ID2	Control
4.64795766338113e-08	0.40408378721753	0.613	0.503	0.00155883204114476	SASH3	Control
4.66711423753438e-08	-0.191007501445914	0.99	0.999	0.00156525677298428	RPS29	Control
4.7160786725478e-08	0.229614200724178	0.975	0.961	0.00158167846519908	MT-ND4	Control
5.04726172948459e-08	0.95822584335267	0.17	0.088	0.00169275063883454	CGAS	Control
5.2716443111507e-08	0.399715278773911	0.589	0.482	0.00176800406907372	RPN1	Control
5.60533439726825e-08	0.279841179551139	0.846	0.785	0.00187991705015583	TPI1	Control
5.68404466396958e-08	0.592601225297481	0.331	0.22	0.00190631489940212	CCDC115	Control
5.79364915402526e-08	0.369032982097496	0.644	0.531	0.00194307405327699	M6PR	Control
6.02188371017926e-08	-0.548722086860104	0.326	0.44	0.00201961935871992	FAM177A1	Control
6.70870688716881e-08	0.324586706641092	0.728	0.629	0.00224996611581868	FLT3LG	Control
6.77497755781602e-08	0.755976037773758	0.232	0.137	0.00227219197334034	MRPL32	Control
7.02310861111087e-08	0.36531819476861	0.736	0.645	0.00235541016599437	HSP90B1	Control
7.12918107148719e-08	0.769725960769289	0.246	0.15	0.00239098474775537	EFR3A	Control
7.18154479600066e-08	0.312536068935799	0.755	0.684	0.0024085464936827	APBB1IP	Control
7.18912034262556e-08	0.316625477218055	0.796	0.737	0.00241108718050976	KRTCAP2	Control
7.79555320683814e-08	0.397717038824669	0.715	0.645	0.00261447263450938	TMEM123	Control
8.32396554224582e-08	0.416527715308308	0.51	0.398	0.0027916915635584	ANXA5	Control
8.49105985232704e-08	0.323004181075676	0.825	0.742	0.00284773165327344	FUS	Control
8.71469158824827e-08	0.484348567805787	0.475	0.365	0.0029227332648667	SERINC1	Control
9.21951009369826e-08	0.277478819697784	0.825	0.765	0.00309203929522452	LCP2	Control
9.3952764826294e-08	0.304924084752434	0.807	0.713	0.00315098782674425	STK17B	Control
1.03188986555488e-07	0.142007714963733	0.533	0.419	0.00346075223109795	HSPA1A	Control
1.04490722063417e-07	0.145654342943518	0.999	1	0.00350440983656289	CD3E	Control
1.08141949683875e-07	0.395695515019338	0.595	0.493	0.0036268647084978	LAMP1	Control
1.32421054626503e-07	-0.332180060759094	0.867	0.878	0.00444113733006367	CYTIP	Control
1.41176732825516e-07	0.327166645244715	0.726	0.623	0.00473478526550217	TAPBP	Control
1.41879000544926e-07	0.154580901833383	1	0.999	0.00475833792027572	MALAT1	Control
1.47280153381867e-07	0.275443901419261	0.853	0.794	0.00493948178412105	SEPT1	Control
1.48634984682223e-07	0.140289150162928	1	1	0.00498492011627241	RPL5	Control
1.69807305011763e-07	0.426064684203141	0.512	0.394	0.00569499739548452	RCAN3	Control
1.70546598219561e-07	0.535346599731397	0.424	0.32	0.00571979181108765	LBR	Control
1.72639231820115e-07	-1.30135713729219	0.044	0.108	0.00578997455678302	POMZP3	Control
1.96803235147529e-07	-2.29231199768919	0.01	0.051	0.00660038690037783	FHL3	Control
1.97321184583292e-07	0.320899447694213	0.799	0.736	0.00661775788855446	CD96	Control
2.01642508565703e-07	0.251247893147624	0.894	0.842	0.00676268645227656	HNRNPDL	Control
2.04787883597142e-07	0.209415818588315	0.931	0.889	0.00686817604008094	FYB1	Control
2.07008430731122e-07	0.796108672143423	0.2	0.114	0.00694264874986036	EIF2B5	Control
2.11904242734007e-07	0.313812197991069	0.67	0.562	0.00710684449281313	LBH	Control
2.12311926937603e-07	0.976176838236715	0.133	0.063	0.00712051740563333	NR1D1	Control
2.19835684732569e-07	0.447875796741683	0.464	0.349	0.00737284919456091	EIF2A	Control
2.21254828299295e-07	0.236388127693956	0.904	0.884	0.00742044443150175	DAZAP2	Control
2.26699154245696e-07	0.436177455122717	0.519	0.412	0.00760303623509217	IMP3	Control
2.40598814704044e-07	-1.20824773290071	0.065	0.135	0.00806920304754421	SLC7A5	Control
2.7624379798046e-07	0.644631928057697	0.332	0.233	0.00926466449666865	NCOA4	Control
2.82282946508986e-07	0.455976254567974	0.461	0.352	0.00946720546001838	SYPL1	Control
2.88161815006823e-07	0.470111304273952	0.489	0.386	0.00966437095169882	MDH1	Control
3.31366748420038e-07	0.321215856118439	0.748	0.679	0.0111133780085112	MSN	Control
3.33435971173547e-07	0.351868533113063	0.746	0.679	0.0111827756012184	PPP1CA	Control
3.46273581606086e-07	0.520739803841969	0.426	0.32	0.0116133233799049	LAIR1	Control
