p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.384572638422091	0.175955224458555	0.088	0.077	1	CNP	Control
0.399871914709691	0.175955224458555	0.145	0.132	1	PRR14	Control
0.428971839338101	0.175955224458555	0.148	0.135	1	NIPA2	Control
0.583102364234898	0.175955224458555	0.045	0.039	1	SLC37A4	Control
0.588166678468539	0.175955224458555	0.042	0.037	1	ZNF891	Control
0.701647220406385	0.175955224458555	0.022	0.019	1	AC106791.1	Control
0.701647220406385	0.175955224458555	0.022	0.019	1	PYCR3	Control
0.701647220406385	0.175955224458555	0.022	0.019	1	INCENP	Control
0.701647220406385	0.175955224458555	0.022	0.019	1	CEP76	Control
0.701647220406385	0.175955224458555	0.022	0.019	1	ZNF823	Control
0.702874065403381	0.175955224458555	0.021	0.018	1	SLC16A6	Control
0.827981660402956	0.175955224458555	0.021	0.019	1	CCNI2	Control
0.827981660402956	0.175955224458555	0.021	0.019	1	RMI1	Control
0.971528196643623	0.175955224458555	0.018	0.018	1	EOMES	Control
0.340110691593983	0.175955224458554	0.065	0.054	1	PLCL2	Control
0.0048473243851267	0.175675062298069	0.721	0.676	1	VAMP8	Control
0.0668786161406049	0.175640191147796	0.24	0.201	1	BRWD1	Control
0.241677075334424	0.175640191147796	0.238	0.216	1	TXNDC17	Control
0.0700001477097842	0.175611684740087	0.22	0.183	1	B4GALT1	Control
0.28044686643132	-0.175579332514131	0.104	0.12	1	BCL2L13	Control
0.421281552783174	-0.175579332514131	0.071	0.081	1	CLASP1	Control
0.567920583732332	-0.175579332514131	0.034	0.039	1	HAPLN3	Control
0.576041315194996	-0.175579332514131	0.035	0.041	1	C14orf93	Control
0.0986442068890708	0.175535775395885	0.197	0.165	1	PFDN6	Control
0.247054404376141	0.1754411085034	0.368	0.345	1	MAPRE2	Control
0.00445203285634038	0.175250152338524	0.753	0.729	1	ATP5F1D	Control
0.00288792987098548	0.175186720675001	0.627	0.557	1	IL2RG	Control
0.13894997953358	0.175018105204502	0.175	0.148	1	GLYR1	Control
0.384852410740528	0.175018105204502	0.088	0.077	1	RPTOR	Control
0.474923089229442	0.174886165468629	0.143	0.132	1	TMEM245	Control
0.497372136236416	0.174710985450093	0.066	0.059	1	TMEM206	Control
0.625549551749039	0.174710985450093	0.064	0.059	1	SLC25A53	Control
0.061624578812573	0.174710985450092	0.404	0.365	1	FUNDC2	Control
0.171333651800278	0.174710985450092	0.245	0.219	1	PDCD7	Control
0.342933277682824	0.174599944846544	0.227	0.21	1	VTA1	Control
0.102131321855462	0.174406437363068	0.256	0.222	1	SLIRP	Control
0.13421781785117	0.174363138542828	0.285	0.254	1	GOPC	Control
0.157022276414639	0.174285330970335	0.367	0.342	1	CALCOCO2	Control
0.386349523782539	0.174104428770613	0.086	0.075	1	EFCAB2	Control
0.48462713639402	0.174104428770613	0.268	0.257	1	STARD3	Control
0.663530539556244	0.174104428770613	0.043	0.039	1	FAN1	Control
0.838925190162482	0.174104428770613	0.041	0.039	1	POLD3	Control
0.0102590221668316	0.174104428770613	0.588	0.526	1	REEP5	Control
0.158239557194195	0.174104428770613	0.249	0.221	1	TMEM165	Control
0.15161709737449	0.174046266137177	0.498	0.47	1	ARHGAP45	Control
0.560228784848111	-0.173679799598649	0.019	0.023	1	NADK2	Control
0.56415032054125	-0.173679799598649	0.042	0.048	1	PPP1R12C	Control
0.679169898056561	-0.173679799598649	0.021	0.023	1	AC099778.1	Control
0.679169898056561	-0.173679799598649	0.021	0.023	1	ZNF213	Control
0.679169898056561	-0.173679799598649	0.021	0.023	1	FUK	Control
0.709634974840037	-0.173679799598649	0.042	0.046	1	STK11	Control
0.790407930008615	-0.173679799598649	0.021	0.022	1	TMEM30B	Control
0.360962715252214	-0.173679799598649	0.225	0.241	1	NBDY	Control
0.469839831048135	-0.173679799598649	0.122	0.133	1	CBWD5	Control
0.193307876850697	0.173507904039812	0.191	0.167	1	PITPNB	Control
0.236951709468242	0.173507904039812	0.133	0.114	1	ANKRD36C	Control
0.389657517016871	0.173507904039812	0.07	0.06	1	MEF2D	Control
0.0152789780884967	0.173372386091145	0.682	0.654	1	NME2	Control
0.00682998652466525	0.173234798375597	0.832	0.789	1	RPS17	Control
0.431853286753334	0.1732133261846	0.085	0.075	1	NUDT9	Control
0.240876700525813	0.173145690871731	0.259	0.238	1	NUP98	Control
0.0297171575218735	0.173128257438614	0.494	0.442	1	RWDD1	Control
0.265774345617126	0.173037741076261	0.207	0.187	1	TMEM126B	Control
0.288059226192094	-0.17298652950319	0.186	0.206	1	TBC1D1	Control
0.994733540829505	-0.17298652950319	0.017	0.017	1	TRBV10-3	Control
