statistic	p.value	sumsq	meansq	gene	method	p_adjust
58.1559557587789	1.50135204757299e-24	103.819486323448	51.909743161724	ITGB2	anova	2.52960759197327e-22
57.6850607029184	2.28413104980686e-24	103.07005353004	51.5350267650201	HLA-A	anova	3.80525967140295e-22
56.9141289682276	4.54384733012071e-24	101.840240388577	50.9201201942885	SLC2A3	anova	7.48573604041109e-22
56.5492087558292	6.29456634164895e-24	101.256862570804	50.6284312854019	HLA-DRB5	anova	1.02559928733658e-21
56.2322388487005	8.35580661853184e-24	100.749488605707	50.3747443028533	EIF4H	anova	1.34664722535839e-21
56.0277672040169	1.00319896498381e-23	100.421868696793	50.2109343483964	IL10RA	anova	1.59940118858225e-21
55.9449950283198	1.08028208618379e-23	100.289172981176	50.1445864905882	NR3C1	anova	1.70397260551565e-21
55.3541475000582	1.83306645390376e-23	99.3407539610323	49.6703769805162	SBDS	anova	2.86093434863484e-21
55.3222519932677	1.88617562744371e-23	99.2894955685195	49.6447477842597	GSTM1	anova	2.91315896126123e-21
54.9551878458429	2.62050138503122e-23	98.6991519379254	49.3495759689627	TSC22D3	anova	4.0055849521503e-21
53.7400474050879	7.79523886721793e-23	96.7390011159144	48.3695005579572	HSP90AA1	anova	1.17938782330857e-20
53.4908382841878	9.75127490464069e-23	96.3358843070577	48.1679421535289	SRSF2	anova	1.44582153011108e-20
53.4923492168963	9.73804445721324e-23	96.3383295160478	48.1691647580239	KMT2E	anova	1.44582153011108e-20
53.2393601051971	1.22243352006371e-22	95.9287108038478	47.9643554019239	RPL39	anova	1.79455661405789e-20
