Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Bacterial invasion of epithelial cells	5/77	0.000590460690369559	0.0028658945703303	8.02144249512671	59.6362764919299	ACTR3;ACTB;ARPC5;PXN;ACTG1	41	KEGG_2021_Human
Human cytomegalovirus infection	8/225	0.000874194881495215	0.00414201860517971	4.3026113671275	30.2998808801553	HLA-C;HLA-B;CXCR4;TNF;PXN;TAPBP;NFKBIA;CCL5	42	KEGG_2021_Human
Malaria	4/50	0.000973406419039437	0.00450483435788019	9.9989888776542	69.3400768222519	TNF;KLRB1;CD40LG;ITGB2	43	KEGG_2021_Human
NOD-like receptor signaling pathway	7/181	0.00112929281622678	0.00510748341884386	4.67761681289533	31.7430732709142	TNF;HSP90AA1;NFKBIA;TNFAIP3;RIPK2;STAT1;CCL5	44	KEGG_2021_Human
Rheumatoid arthritis	5/93	0.00138743986887532	0.00613556742013752	6.55768208399787	43.1514829635613	TNF;FOS;HLA-DRB1;ITGB2;CCL5	45	KEGG_2021_Human
Chemokine signaling pathway	7/192	0.00158575205112934	0.00686010126466822	4.39702542779466	28.3462884532541	PXN;NFKBIA;GRK6;STAT1;CXCR4;CCL5;CXCR3	46	KEGG_2021_Human
Toll-like receptor signaling pathway	5/104	0.00227228275925906	0.00950764739926883	5.82580187843346	35.4614831939464	TNF;NFKBIA;STAT1;FOS;CCL5	47	KEGG_2021_Human
Phagosome	6/152	0.00229330188525077	0.00950764739926883	4.75697018533441	28.9117356179122	ACTB;HLA-C;HLA-B;HLA-DRB1;ACTG1;ITGB2	48	KEGG_2021_Human
Asthma	3/31	0.0025123314402982	0.0102031419718233	12.2601156069364	73.3957227064891	CD40LG;HLA-DRB1;TNF	49	KEGG_2021_Human
Necroptosis	6/159	0.00287015233835674	0.0114232063066598	4.53771626297578	26.5610237727274	TNF;FTH1;GLUL;HSP90AA1;TNFAIP3;STAT1	50	KEGG_2021_Human
Lipid and atherosclerosis	7/215	0.00299631688650666	0.0116538381659086	3.90623577605826	22.6966808264993	FOS;CD40LG;TNF;LDLR;HSP90AA1;NFKBIA;CCL5	51	KEGG_2021_Human
Fc epsilon RI signaling pathway	4/68	0.00304522404335299	0.0116538381659086	7.18023255813953	41.6035656499585	LCP2;LAT;TNF;ALOX5	52	KEGG_2021_Human
